,politicalParty,results.ballotItems.name,percent_of_contest,label,precinctsParticipating,precinctsReporting
46,Dem,State Senate - District 10,85.3110062231308,"<b>Emanuel D. Jones (I) (Dem)</b><br>85,131 votes",57,57
47,Rep,State Senate - District 11,100.0,"<b>Sam Watson (I) (Rep)</b><br>65,156 votes",82,82
48,Dem,State Senate - District 12,100.0,"<b>Freddie Powell Sims (I) (Dem)</b><br>62,128 votes",87,87
49,Rep,State Senate - District 13,100.0,"<b>Carden H. Summers (I) (Rep)</b><br>69,318 votes",54,54
50,Dem,State Senate - District 14,100.0,"<b>Josh McLaurin (I) (Dem)</b><br>72,408 votes",74,74
51,Dem,State Senate - District 15,100.0,"<b>Ed Harbison (I) (Dem)</b><br>54,421 votes",39,39
52,Rep,State Senate - District 16,65.77130824864965,"<b>Marty Harbin (I) (Rep)</b><br>71,842 votes",54,54
53,Dem,State Senate - District 16,34.22869175135036,"<b>Amili Blake (Dem)</b><br>37,388 votes",54,54
54,Dem,State Senate - District 17,100.0,"<b>Gail Davenport (I) (Dem)</b><br>80,988 votes",34,34
55,Rep,State Senate - District 18,100.0,"<b>John F. Kennedy (I) (Rep)</b><br>80,984 votes",48,48
56,Rep,State Senate - District 19,100.0,"<b>Blake Tillery (I) (Rep)</b><br>65,328 votes",66,66
57,Rep,State Senate - District 20,100.0,"<b>Larry Walker (I) (Rep)</b><br>79,290 votes",57,57
58,Rep,State Senate - District 21,70.345333678667,"<b>Brandon Beach (I) (Rep)</b><br>81,481 votes",50,50
59,Dem,State Senate - District 21,29.65466632133299,"<b>Lillia Michelle Lionel (Dem)</b><br>34,349 votes",50,50
60,Dem,State Senate - District 22,100.0,"<b>Harold V. Jones, III (I) (Dem)</b><br>63,914 votes",60,60
61,Rep,State Senate - District 23,61.839923686661066,"<b>Max Burns (I) (Rep)</b><br>54,455 votes",86,86
62,Dem,State Senate - District 23,38.160076313338934,"<b>Shayna Boston (Dem)</b><br>33,603 votes",86,86
63,Rep,State Senate - District 24,100.0,"<b>Lee Anderson (I) (Rep)</b><br>93,176 votes",69,69
64,Rep,State Senate - District 25,100.0,"<b>Ricky ""Rick"" Williams (I) (Rep)</b><br>80,234 votes",47,47
65,Dem,State Senate - District 26,100.0,"<b>David E. Lucas, Sr. (I) (Dem)</b><br>60,536 votes",57,57
