,politicalParty,results.ballotItems.name,percent_of_contest,label,precinctsParticipating,precinctsReporting
233,Rep,State House of Representatives - District 80,40.3895102198226,"<b>Brian Anderson (Rep)</b><br>10,473 votes",15,15
234,Dem,State House of Representatives - District 80,59.6104897801774,"<b>Long Tran (I) (Dem)</b><br>15,457 votes",15,15
235,Rep,State House of Representatives - District 81,57.00787401574803,"<b>Noelle Kahaian (Rep)</b><br>19,186 votes",17,17
236,Dem,State House of Representatives - District 81,42.99212598425196,"<b>Mishael White (Dem)</b><br>14,469 votes",17,17
237,Rep,State House of Representatives - District 82,62.948852557372135,"<b>Karen I. Mathiak (I) (Rep)</b><br>20,984 votes",18,18
238,Dem,State House of Representatives - District 82,37.051147442627865,"<b>Anthony Dickson (Dem)</b><br>12,351 votes",18,18
239,Rep,State House of Representatives - District 83,36.88477127967574,"<b>Catherine Bernard (Rep)</b><br>8,281 votes",11,11
240,Dem,State House of Representatives - District 83,63.115228720324254,"<b>Karen Lupton (I) (Dem)</b><br>14,170 votes",11,11
241,Dem,State House of Representatives - District 84,100.0,"<b>Mary Margaret Oliver (I) (Dem)</b><br>28,980 votes",17,17
242,Dem,State House of Representatives - District 85,100.0,"<b>Karla L. Drenner (I) (Dem)</b><br>22,384 votes",19,19
243,Rep,State House of Representatives - District 86,20.005674218781664,"<b>Barry 'Z' Zisholtz (Rep)</b><br>4,936 votes",16,16
244,Dem,State House of Representatives - District 86,79.99432578121834,"<b>Imani Barnes (I) (Dem)</b><br>19,737 votes",16,16
245,Dem,State House of Representatives - District 87,100.0,"<b>Viola Davis (I) (Dem)</b><br>22,753 votes",20,20
246,Rep,State House of Representatives - District 88,19.85837557559107,"<b>William Park Freeman (Rep)</b><br>5,132 votes",16,16
247,Dem,State House of Representatives - District 88,80.14162442440893,"<b>Billy Mitchell (I) (Dem)</b><br>20,711 votes",16,16
248,Dem,State House of Representatives - District 89,100.0,"<b>Omari Crawford (I) (Dem)</b><br>30,293 votes",19,19
249,Dem,State House of Representatives - District 90,100.0,"<b>Saira Draper (I) (Dem)</b><br>30,637 votes",19,19
250,Dem,State House of Representatives - District 91,100.0,"<b>Angela Moore (I) (Dem)</b><br>25,823 votes",14,14
251,Dem,State House of Representatives - District 92,100.0,"<b>Rhonda S. Taylor (I) (Dem)</b><br>24,823 votes",10,10
252,Dem,State House of Representatives - District 93,100.0,"<b>Doreen Carter (I) (Dem)</b><br>23,317 votes",13,13
253,Dem,State House of Representatives - District 94,100.0,"<b>Karen Bennett (I) (Dem)</b><br>25,781 votes",14,14
254,Dem,State House of Representatives - District 95,100.0,"<b>Dar'shun Kendrick (I) (Dem)</b><br>24,135 votes",11,11
255,Dem,State House of Representatives - District 96,100.0,"<b>Arlene Beckles (Dem)</b><br>13,524 votes",10,10
256,Rep,State House of Representatives - District 97,41.15694450066793,"<b>Michael Allen Corbin (Rep)</b><br>10,167 votes",11,11
257,Dem,State House of Representatives - District 97,58.84305549933207,"<b>Ruwa Romman (I) (Dem)</b><br>14,536 votes",11,11
258,Dem,State House of Representatives - District 98,100.0,"<b>Marvin Lim (I) (Dem)</b><br>9,283 votes",8,8
259,Rep,State House of Representatives - District 99,51.07057890563045,"<b>Matt Reeves (I) (Rep)</b><br>14,812 votes",10,10
260,Dem,State House of Representatives - District 99,48.929421094369545,"<b>Michelle Kang (Dem)</b><br>14,191 votes",10,10
261,Rep,State House of Representatives - District 100,62.37878739706865,"<b>David Clark (I) (Rep)</b><br>19,620 votes",9,9
262,Dem,State House of Representatives - District 100,37.62121260293136,"<b>Jennifer Ambler (Dem)</b><br>11,833 votes",9,9
263,Rep,State House of Representatives - District 101,27.875153751537518,"<b>Kendra Biegalski (Rep)</b><br>7,252 votes",16,16
264,Dem,State House of Representatives - District 101,72.12484624846248,"<b>Scott Holcomb (I) (Dem)</b><br>18,764 votes",16,16
265,Rep,State House of Representatives - District 102,34.12101993831719,"<b>Kathy Statham (Rep)</b><br>7,855 votes",9,9
266,Dem,State House of Representatives - District 102,65.87898006168281,"<b>Gabe Okoye (I) (Dem)</b><br>15,166 votes",9,9
267,Rep,State House of Representatives - District 103,60.547290116896924,"<b>Soo Hong (I) (Rep)</b><br>18,232 votes",11,11
268,Dem,State House of Representatives - District 103,39.45270988310308,"<b>Chris Luchey (Dem)</b><br>11,880 votes",11,11
269,Rep,State House of Representatives - District 104,100.0,"<b>Chuck Efstration (I) (Rep)</b><br>25,168 votes",10,10
270,Rep,State House of Representatives - District 105,50.13243279035889,"<b>Sandy Donatucci (Rep)</b><br>15,142 votes",10,10
271,Dem,State House of Representatives - District 105,49.86756720964111,"<b>Farooq Mughal (I) (Dem)</b><br>15,062 votes",10,10
272,Dem,State House of Representatives - District 106,100.0,"<b>Shelly Hutchinson (I) (Dem)</b><br>19,029 votes",12,12
273,Rep,State House of Representatives - District 107,39.604306759435616,"<b>Hai Cao (Rep)</b><br>10,189 votes",12,12
274,Dem,State House of Representatives - District 107,60.395693240564384,"<b>Sam Park (I) (Dem)</b><br>15,538 votes",12,12
275,Rep,State House of Representatives - District 108,46.13653149509373,"<b>Elvia Davila (Rep)</b><br>13,118 votes",17,17
276,Dem,State House of Representatives - District 108,53.86346850490627,"<b>Jasmine Clark (I) (Dem)</b><br>15,315 votes",17,17
277,Dem,State House of Representatives - District 109,100.0,"<b>Dewey L. McClain (I) (Dem)</b><br>12,657 votes",8,8
278,Rep,State House of Representatives - District 110,34.70300191611667,"<b>Charles Lollar (Rep)</b><br>11,410 votes",9,9
279,Dem,State House of Representatives - District 110,65.29699808388332,"<b>Segun Adeyina (I) (Dem)</b><br>21,469 votes",9,9
280,Rep,State House of Representatives - District 111,61.53644314868805,"<b>Rey Martinez (I) (Rep)</b><br>21,107 votes",9,9
281,Dem,State House of Representatives - District 111,38.46355685131195,"<b>Scott T. Jackson (Dem)</b><br>13,193 votes",9,9
282,Rep,State House of Representatives - District 112,100.0,"<b>Bruce Williamson (I) (Rep)</b><br>28,832 votes",12,12
283,Dem,State House of Representatives - District 113,100.0,"<b>Sharon Henderson (I) (Dem)</b><br>24,149 votes",9,9
284,Rep,State House of Representatives - District 114,100.0,"<b>Tim Fleming (I) (Rep)</b><br>30,394 votes",14,14
285,Dem,State House of Representatives - District 115,100.0,"<b>Regina Lewis-Ward (I) (Dem)</b><br>30,385 votes",16,16
286,Rep,State House of Representatives - District 116,18.3660849251065,"<b>Reign Stevens (Rep)</b><br>5,346 votes",15,15
287,Dem,State House of Representatives - District 116,81.63391507489351,"<b>El-Mahdi Holly (I) (Dem)</b><br>23,762 votes",15,15
288,Dem,State House of Representatives - District 117,100.0,"<b>Mary Ann Santos (Dem)</b><br>24,820 votes",8,8
289,Rep,State House of Representatives - District 118,66.7787428784907,"<b>Clint Crowe (I) (Rep)</b><br>21,450 votes",13,13
290,Dem,State House of Representatives - District 118,33.221257121509296,"<b>Sharonda Bell (Dem)</b><br>10,671 votes",13,13
291,Rep,State House of Representatives - District 119,100.0,"<b>Holt Persinger (I) (Rep)</b><br>26,957 votes",7,7
292,Rep,State House of Representatives - District 120,61.29155521589607,"<b>Houston Gaines (I) (Rep)</b><br>19,248 votes",15,15
293,Dem,State House of Representatives - District 120,38.70844478410393,"<b>Andrew Ferguson (Dem)</b><br>12,156 votes",15,15
294,Rep,State House of Representatives - District 121,61.130184652500695,"<b>Marcus A. Wiedower (I) (Rep)</b><br>19,764 votes",16,16
295,Dem,State House of Representatives - District 121,38.869815347499305,"<b>Eric Martin Gisler (Dem)</b><br>12,567 votes",16,16
296,Dem,State House of Representatives - District 122,100.0,"<b>Spencer Frye (I) (Dem)</b><br>17,410 votes",15,15
297,Rep,State House of Representatives - District 123,73.2178867513844,"<b>Rob Leverett (I) (Rep)</b><br>22,874 votes",34,34
298,Dem,State House of Representatives - District 123,26.7821132486156,"<b>Hope S. Beard (Dem)</b><br>8,367 votes",34,34
299,Rep,State House of Representatives - District 124,65.74263120057513,"<b>Trey Rhodes (I) (Rep)</b><br>22,862 votes",18,18
300,Dem,State House of Representatives - District 124,34.257368799424874,"<b>Melanie M. Miller (Dem)</b><br>11,913 votes",18,18
301,Rep,State House of Representatives - District 125,64.50293324877121,"<b>Gary Richardson (I) (Rep)</b><br>20,341 votes",18,18
302,Dem,State House of Representatives - District 125,35.49706675122879,"<b>Kay Turner (Dem)</b><br>11,194 votes",18,18
303,Rep,State House of Representatives - District 126,42.076482265253375,"<b>William C. Harris (Rep)</b><br>11,234 votes",29,29
304,Dem,State House of Representatives - District 126,57.923517734746625,"<b>L.C. Myles, Jr. (Dem)</b><br>15,465 votes",29,29
305,Rep,State House of Representatives - District 127,100.0,"<b>Mark Newton (I) (Rep)</b><br>25,538 votes",22,22
306,Rep,State House of Representatives - District 128,49.91368148467846,"<b>Tracy Wheeler (Rep)</b><br>13,878 votes",29,29
307,Dem,State House of Representatives - District 128,50.08631851532154,"<b>Mack Jackson (I) (Dem)</b><br>13,926 votes",29,29
308,Dem,State House of Representatives - District 129,100.0,"<b>Karlton L. Howard (I) (Dem)</b><br>17,008 votes",23,23
309,Dem,State House of Representatives - District 130,100.0,"<b>Lynn Gladney (I) (Dem)</b><br>18,775 votes",16,16
310,Rep,State House of Representatives - District 131,65.06079166285767,"<b>Rob Clifton (Rep)</b><br>21,351 votes",16,16
311,Dem,State House of Representatives - District 131,34.93920833714233,"<b>Heather Rose White (Dem)</b><br>11,466 votes",16,16
312,Dem,State House of Representatives - District 132,100.0,"<b>Brian L. Prince (I) (Dem)</b><br>19,198 votes",20,20
313,Rep,State House of Representatives - District 133,100.0,"<b>Danny Mathis (I) (Rep)</b><br>21,374 votes",34,34
314,Rep,State House of Representatives - District 134,100.0,"<b>Robert L. Dickey, III (I) (Rep)</b><br>25,043 votes",16,16
315,Rep,State House of Representatives - District 135,100.0,"<b>Beth Camp (I) (Rep)</b><br>28,632 votes",21,21
316,Rep,State House of Representatives - District 136,68.4503190519599,"<b>David Jenkins (I) (Rep)</b><br>22,527 votes",21,21
317,Dem,State House of Representatives - District 136,31.54968094804011,"<b>Jeff Lowe (Dem)</b><br>10,383 votes",21,21
318,Rep,State House of Representatives - District 137,40.32305868405454,"<b>Stephen Acorn (Rep)</b><br>10,884 votes",24,24
319,Dem,State House of Representatives - District 137,59.67694131594546,"<b>Debbie G. Buckner (I) (Dem)</b><br>16,108 votes",24,24
320,Rep,State House of Representatives - District 138,100.0,"<b>Vance C. Smith, Jr. (I) (Rep)</b><br>28,129 votes",17,17
321,Rep,State House of Representatives - District 139,64.13197013519876,"<b>Carmen Rice (I) (Rep)</b><br>19,069 votes",10,10
322,Dem,State House of Representatives - District 139,35.86802986480124,"<b>Carl Sprayberry (Dem)</b><br>10,665 votes",10,10
323,Dem,State House of Representatives - District 140,100.0,"<b>Tremaine Teddy Reese (I) (Dem)</b><br>12,939 votes",8,8
324,Dem,State House of Representatives - District 141,100.0,"<b>Carolyn F. Hugley (I) (Dem)</b><br>18,479 votes",10,10
325,Rep,State House of Representatives - District 142,39.46898621187374,"<b>Calvin Dennis Palmer (Rep)</b><br>10,391 votes",16,16
326,Dem,State House of Representatives - District 142,60.53101378812625,"<b>Miriam Paris (I) (Dem)</b><br>15,936 votes",16,16
327,Rep,State House of Representatives - District 143,38.096123454494744,"<b>Barbara Boyer (Rep)</b><br>8,196 votes",15,15
328,Dem,State House of Representatives - District 143,61.903876545505256,"<b>Anissa Jones (Dem)</b><br>13,318 votes",15,15
329,Rep,State House of Representatives - District 144,74.45623497684235,"<b>Dale Washburn (I) (Rep)</b><br>25,400 votes",19,19
330,Dem,State House of Representatives - District 144,25.54376502315765,"<b>Anita Hyland (Dem)</b><br>8,714 votes",19,19
331,Rep,State House of Representatives - District 145,49.49502423143798,"<b>Noah Redding Harbuck (Rep)</b><br>13,379 votes",16,16
332,Dem,State House of Representatives - District 145,50.50497576856202,"<b>Tangie Herring (Dem)</b><br>13,652 votes",16,16
333,Rep,State House of Representatives - District 146,100.0,"<b>Shaw Blackmon (I) (Rep)</b><br>27,658 votes",9,9
334,Rep,State House of Representatives - District 147,56.92404532102392,"<b>Bethany Ballard (I) (Rep)</b><br>16,278 votes",11,11
335,Dem,State House of Representatives - District 147,43.07595467897608,"<b>Ariel Phillips (Dem)</b><br>12,318 votes",11,11
336,Rep,State House of Representatives - District 148,100.0,"<b>Noel W. Williams, Jr. (I) (Rep)</b><br>22,686 votes",17,17
337,Rep,State House of Representatives - District 149,46.00498338870432,"<b>Ken Vance (I) (Rep)</b><br>11,078 votes",21,21
338,Dem,State House of Representatives - District 149,53.995016611295675,"<b>Floyd Griffin (Dem)</b><br>13,002 votes",21,21
339,Rep,State House of Representatives - District 150,46.756212222968436,"<b>Cary Moore (Rep)</b><br>10,443 votes",22,22
340,Dem,State House of Representatives - District 150,53.24378777703156,"<b>Patty Marie Stinson (I) (Dem)</b><br>11,892 votes",22,22
341,Rep,State House of Representatives - District 151,100.0,"<b>Mike Cheokas (I) (Rep)</b><br>18,992 votes",29,29
342,Rep,State House of Representatives - District 152,100.0,"<b>William J. 'Bill' Yearta (I) (Rep)</b><br>25,258 votes",25,25
343,Rep,State House of Representatives - District 153,32.91205897840969,"<b>Brenda Battle (Rep)</b><br>6,875 votes",16,16
344,Dem,State House of Representatives - District 153,67.08794102159031,"<b>David Sampson (I) (Dem)</b><br>14,014 votes",16,16
345,Rep,State House of Representatives - District 154,100.0,"<b>Gerald E. Greene (I) (Rep)</b><br>20,680 votes",42,42
346,Rep,State House of Representatives - District 155,100.0,"<b>Matt Hatchett (I) (Rep)</b><br>22,913 votes",19,19
347,Rep,State House of Representatives - District 156,100.0,"<b>Leesa Hagan (I) (Rep)</b><br>19,606 votes",17,17
348,Rep,State House of Representatives - District 157,100.0,"<b>William 'Bill' Werkheiser (I) (Rep)</b><br>19,664 votes",24,24
349,Rep,State House of Representatives - District 158,72.89470495577366,"<b>Butch Parrish (I) (Rep)</b><br>18,048 votes",19,19
350,Dem,State House of Representatives - District 158,27.10529504422634,"<b>Madeline Ryan Smith  (Dem)</b><br>6,711 votes",19,19
351,Rep,State House of Representatives - District 159,100.0,"<b>Jon G. Burns (I) (Rep)</b><br>26,319 votes",22,22
352,Rep,State House of Representatives - District 160,100.0,"<b>Lehman Franklin (I) (Rep)</b><br>19,745 votes",13,13
353,Rep,State House of Representatives - District 161,100.0,"<b>Bill Hitchens (I) (Rep)</b><br>23,751 votes",19,19
354,Rep,State House of Representatives - District 162,33.799909162228005,"<b>Keith Padgett (Rep)</b><br>8,186 votes",17,17
355,Dem,State House of Representatives - District 162,66.200090837772,"<b>Carl W. Gilliard (I) (Dem)</b><br>16,033 votes",17,17
356,Dem,State House of Representatives - District 163,100.0,"<b>Anne Allen Westbrook (I) (Dem)</b><br>20,697 votes",25,25
357,Rep,State House of Representatives - District 164,100.0,"<b>Ron Stephens (I) (Rep)</b><br>24,073 votes",16,16
358,Dem,State House of Representatives - District 165,100.0,"<b>Edna Jackson (I) (Dem)</b><br>21,840 votes",23,23
359,Rep,State House of Representatives - District 166,71.66166494338385,"<b>Jesse L. Petrea (I) (Rep)</b><br>28,416 votes",23,23
360,Dem,State House of Representatives - District 166,28.338335056616142,"<b>Gay Fortson (Dem)</b><br>11,237 votes",23,23
361,Rep,State House of Representatives - District 167,70.56756281848533,"<b>Buddy Deloach (I) (Rep)</b><br>20,080 votes",22,22
362,Dem,State House of Representatives - District 167,29.432437181514672,"<b>Rebekah Moore (Dem)</b><br>8,375 votes",22,22
363,Dem,State House of Representatives - District 168,100.0,"<b>Al Williams (I) (Dem)</b><br>18,106 votes",12,12
364,Rep,State House of Representatives - District 169,74.74853037230568,"<b>Angie O'Steen (Rep)</b><br>17,166 votes",13,13
365,Dem,State House of Representatives - District 169,25.251469627694316,"<b>Theresa R. Rewis (Dem)</b><br>5,799 votes",13,13
366,Rep,State House of Representatives - District 170,100.0,"<b>Jaclyn Dixon Ford (Rep)</b><br>20,743 votes",18,18
367,Rep,State House of Representatives - District 171,100.0,"<b>Joe Campbell (I) (Rep)</b><br>19,633 votes",28,28
368,Rep,State House of Representatives - District 172,100.0,"<b>Charles 'Chas' Cannon (I) (Rep)</b><br>19,258 votes",27,27
369,Rep,State House of Representatives - District 173,65.46873198293423,"<b>Darlene K. Taylor (I) (Rep)</b><br>17,033 votes",25,25
370,Dem,State House of Representatives - District 173,34.53126801706576,"<b>Theresa Thomas (Dem)</b><br>8,984 votes",25,25
371,Rep,State House of Representatives - District 174,100.0,"<b>John Corbett (I) (Rep)</b><br>22,251 votes",27,27
372,Rep,State House of Representatives - District 175,71.94507213627672,"<b>John LaHood (I) (Rep)</b><br>20,695 votes",18,18
373,Dem,State House of Representatives - District 175,28.05492786372327,"<b>Anissa Knight Wiseman (Dem)</b><br>8,070 votes",18,18
374,Rep,State House of Representatives - District 176,100.0,"<b>James D. Burchett (I) (Rep)</b><br>19,364 votes",25,25
375,Rep,State House of Representatives - District 177,37.88819875776397,"<b>Clay Griner (Rep)</b><br>6,954 votes",9,9
376,Dem,State House of Representatives - District 177,62.11180124223602,"<b>Dexter Sharper (I) (Dem)</b><br>11,400 votes",9,9
377,Rep,State House of Representatives - District 178,100.0,"<b>Steven Meeks (I) (Rep)</b><br>24,660 votes",25,25
378,Rep,State House of Representatives - District 179,100.0,"<b>Rick Townsend (I) (Rep)</b><br>22,336 votes",13,13
379,Rep,State House of Representatives - District 180,69.35028248587571,"<b>Steven Sainz (I) (Rep)</b><br>19,640 votes",13,13
380,Dem,State House of Representatives - District 180,30.64971751412429,"<b>Defonsio Daniels (Dem)</b><br>8,680 votes",13,13
381,Rep,District Attorney - Alapaha Judicial Circuit,100.0,"<b>Chase L. Studstill (I) (Rep)</b><br>21,795 votes",23,23
382,Rep,District Attorney - Alcovy Judicial Circuit,100.0,"<b>Randal Matthew McGinley (I) (Rep)</b><br>91,005 votes",38,38
383,Rep,District Attorney - Appalachian Judicial Circuit,100.0,"<b>Frank Wood (I) (Rep)</b><br>48,374 votes",37,37
384,Rep,District Attorney - Atlanta Judicial Circuit,31.862973152524983,"<b>Courtney Kramer (Rep)</b><br>166,427 votes",466,466
385,Dem,District Attorney - Atlanta Judicial Circuit,68.13702684747503,"<b>Fani T. Willis (I) (Dem)</b><br>355,894 votes",466,466
386,Dem,District Attorney - Augusta Judicial Circuit,100.0,"<b>Jared T. Williams (I) (Dem)</b><br>76,263 votes",84,84
387,Rep,District Attorney - Bell-Forsyth Judicial Circuit,100.0,"<b>Penny A. Penn (I) (Rep)</b><br>118,154 votes",29,29
388,Rep,District Attorney - Blue Ridge Judicial Circuit,100.0,"<b>Susan K. Treadaway (I) (Rep)</b><br>135,755 votes",43,43
389,Rep,District Attorney - Brunswick Judicial Circuit,100.0,"<b>Keith Higgins (I) (Rep)</b><br>78,471 votes",58,58
390,Rep,District Attorney - Chattahoochee Judicial Circuit,51.765460587863174,"<b>Don Kelly (I) (Rep)</b><br>58,100 votes",53,53
391,Dem,District Attorney - Chattahoochee Judicial Circuit,48.23453941213682,"<b>Anthony Johnson (Dem)</b><br>54,137 votes",53,53
392,Rep,District Attorney - Cherokee Judicial Circuit,100.0,"<b>Erle J. Newton, III (Rep)</b><br>72,987 votes",29,29
393,Dem,District Attorney - Clayton Judicial Circuit,100.0,"<b>Tasha M. Mosley (I) (Dem)</b><br>101,611 votes",70,70
394,Dem,District Attorney - Cobb Judicial Circuit,100.0,"<b>Sonya F. Allen (Dem)</b><br>302,274 votes",148,148
395,Rep,District Attorney - Conasauga Judicial Circuit,100.0,"<b>Benjamin Kenemer (I) (Rep)</b><br>48,720 votes",30,30
396,Rep,District Attorney - Coweta Judicial Circuit,100.0,"<b>Herb Cranford (I) (Rep)</b><br>162,345 votes",85,85
397,Dem,District Attorney - Dougherty Judicial Circuit,100.0,"<b>Gregory W. Edwards (I) (Dem)</b><br>28,976 votes",25,25
398,Dem,District Attorney - Douglas Judicial Circuit,100.0,"<b>Dalia Racine (I) (Dem)</b><br>56,567 votes",25,25
399,Rep,District Attorney - Dublin Judicial Circuit,100.0,"<b>Harold D. McLendon (Rep)</b><br>29,512 votes",26,26
400,Rep,District Attorney - Eastern Judicial Circuit,46.55240751614797,"<b>André Pretorius (Rep)</b><br>63,423 votes",87,87
401,Dem,District Attorney - Eastern Judicial Circuit,53.44759248385203,"<b>Shalena Cook Jones (I) (Dem)</b><br>72,817 votes",87,87
402,Dem,District Attorney - Flint Judicial Circuit,100.0,"<b>Darius Pattillo (I) (Dem)</b><br>101,961 votes",37,37
403,Rep,District Attorney - Griffin Judicial Circuit,100.0,"<b>Marie Greene Broder (I) (Rep)</b><br>104,053 votes",65,65
404,Dem,District Attorney - Gwinnett Judicial Circuit,100.0,"<b>Patsy Austin-Gatson (I) (Dem)</b><br>321,795 votes",156,156
405,Rep,District Attorney - Houston Judicial Circuit,100.0,"<b>Eric Z. Edwards (Rep)</b><br>62,754 votes",17,17
406,Rep,District Attorney - Judicial Circuit Lookout Mountain,100.0,"<b>Clayton Fuller (I) (Rep)</b><br>74,668 votes",11,11
407,Dem,District Attorney - Macon Judicial Circuit,100.0,"<b>Anita Reynolds Howard (I) (Dem)</b><br>67,738 votes",43,43
408,Rep,District Attorney - Middle Judicial Circuit,100.0,"<b>Tripp Fitzner (I) (Rep)</b><br>32,860 votes",33,33
409,Rep,District Attorney - Mountain Judicial Circuit,100.0,"<b>George R. Christian (I) (Rep)</b><br>41,074 votes",8,8
410,Rep,District Attorney - Northern Judicial Circuit,100.0,"<b>D. Parks White (I) (Rep)</b><br>52,469 votes",40,40
411,Rep,District Attorney - Ocmulgee Judicial Circuit,100.0,"<b>T. Wright Barksdale (I) (Rep)</b><br>75,179 votes",51,51
412,Rep,District Attorney - Oconee Judicial Circuit,100.0,"<b>Timothy G. Vaughn (I) (Rep)</b><br>23,986 votes",29,29
413,Rep,District Attorney - Ogeechee Judicial Circuit,100.0,"<b>Robert Busbee (Rep)</b><br>65,604 votes",48,48
414,Rep,District Attorney - Piedmont Judicial Circuit,100.0,"<b>J. Bradley Smith (I) (Rep)</b><br>88,274 votes",25,25
415,Rep,District Attorney - Rome Judicial Circuit,100.0,"<b>Leigh E. Patterson (I) (Rep)</b><br>37,249 votes",19,19
416,Rep,District Attorney - South Georgia Judicial Circuit,100.0,"<b>Joe Mulholland (I) (Rep)</b><br>27,815 votes",44,44
417,Rep,District Attorney - Southern Judicial Circuit,100.0,"<b>Brad Shealy (I) (Rep)</b><br>76,850 votes",65,65
418,Ind,District Attorney - Southwestern Judicial Circuit,100.0,"<b>Lewis R. Lamb (I) (Ind)</b><br>31,442 votes",32,32
419,Dem,District Attorney - Stone Mountain Judicial Circuit,100.0,"<b>Sherry Boston (I) (Dem)</b><br>320,117 votes",191,191
420,Rep,District Attorney - Tallapoosa Judicial Circuit,100.0,"<b>Jaeson Robert Smith (Rep)</b><br>31,548 votes",19,19
421,Rep,District Attorney - Tifton Judicial Circuit,100.0,"<b>Bryce Johnson (I) (Rep)</b><br>28,715 votes",29,29
422,Dem,District Attorney - Toombs Judicial Circuit,100.0,"<b>Bill Doupé (I) (Dem)</b><br>18,989 votes",28,28
423,Rep,District Attorney - Towaliga Judicial Circuit,100.0,"<b>Jonathan L. Adams (I) (Rep)</b><br>34,958 votes",19,19
424,Dem,District Attorney - Western Judicial Circuit,40.58729677342792,"<b>Deborah Gonzalez (I) (Dem)</b><br>30,781 votes",32,32
425,Ind,District Attorney - Western Judicial Circuit,59.412703226572084,"<b>Kalki Yalamanchili (Ind)</b><br>45,058 votes",32,32
426,,Proposed Constitutional Amendment 1,62.92020640722949,"<b>Yes</b><br>3,094,322 votes",2701,2701
427,,Proposed Constitutional Amendment 1,37.0797935927705,"<b>No</b><br>1,823,529 votes",2701,2701
428,,Proposed Constitutional Amendment 2,51.88815821104422,"<b>Yes</b><br>2,525,406 votes",2701,2701
429,,Proposed Constitutional Amendment 2,48.111841788955786,"<b>No</b><br>2,341,612 votes",2701,2701
430,,Statewide Referendum Question A,64.48219637511062,"<b>Yes</b><br>3,223,888 votes",2701,2701
431,,Statewide Referendum Question A,35.517803624889396,"<b>No</b><br>1,775,768 votes",2701,2701
